phrase,tf,df,ngram,char_len,is_protected,noise_penalty,completeness_penalty,base_quality,title_df,claims_df,title_ratio,claims_ratio,title_boost,claims_support_score,support_penalty,final_score,drop_flag,drop_reason,generic_penalty,cleaned_score
실리콘,26,9,1,3,False,0.0,0.0,3.325,2,7,0.2222,0.7778,0.3866,1.0111,0.0,4.5978,False,,0.0,4.5978
프로그램,20,16,1,4,False,0.0,0.0,3.4,12,13,0.75,0.8125,1.5,1.2458,0.0,6.1966,False,,1.6,4.5966000000000005
산화물,35,8,1,3,False,0.0,0.0,3.2,2,7,0.25,0.875,0.42,1.1083,0.0,4.5906,False,,0.0,4.5906
탄소,30,14,1,2,False,0.0,0.0,3.4,2,10,0.1429,0.7143,0.2915,1.0476,0.0,4.5879,False,,0.0,4.5879
텍스트,15,7,1,3,False,0.0,0.0,2.875,3,6,0.4286,0.8571,0.6943,1.0571,0.0,4.5538,False,,0.0,4.5538
와이어,24,6,1,3,False,0.0,0.0,2.95,2,6,0.3333,1.0,0.52,1.2,0.0,4.534,False,,0.0,4.534
단말기,19,6,1,3,False,0.0,0.0,2.95,2,6,0.3333,1.0,0.52,1.2,0.0,4.534,False,,0.0,4.534
초음파 발생,8,2,2,5,False,0.0,0.0,2.0833,2,2,1.0,1.0,1.32,1.0667,0.0,4.5207,False,,0.0,4.5207
초음파,12,4,1,3,False,0.0,0.0,2.3,3,4,0.75,1.0,1.08,1.1333,0.0,4.5026,False,,0.0,4.5026
플라스틱,15,6,1,4,False,0.0,0.0,2.75,3,5,0.5,0.8333,0.78,1.0,0.0,4.486,False,,0.0,4.486
케이블,18,5,1,3,False,0.0,0.0,2.825,2,5,0.4,1.0,0.6,1.1667,0.0,4.4784,False,,0.0,4.4784
플레이트,19,7,1,4,False,0.0,0.0,3.075,2,6,0.2857,0.8571,0.4628,1.0571,0.0,4.476,False,,0.0,4.476
복합체,8,3,1,3,False,0.0,0.0,1.9083,3,3,1.0,1.0,1.38,1.1,0.0,4.4443,False,,0.0,4.4443
