doc_id,phrase_original_in_doc,phrase_norm,concept_id,concept_label
421,프로세서,프로세서,C0006,프로세서
421,메모리,메모리,C0007,메모리
421,테스트,테스트,C0038,테스트
421,드라이버,드라이버,C0094,드라이버
423,유전자,유전자,C0030,유전자
423,AAV,AAV,C0106,AAV
423,조성물,조성물,C0001,조성물
424,단말기,단말기,C0053,단말기
424,에너지,에너지,C0011,에너지
425,디스플레이,디스플레이,C0014,디스플레이
425,캐비닛,캐비닛,C0090,캐비닛
426,스트림,스트림,C0034,스트림
426,산화물,산화물,C0036,산화물
427,배터리,배터리,C0015,배터리
428,바이러스,바이러스,C0088,바이러스
428,레이트,레이트,C0055,레이트
428,조성물,조성물,C0001,조성물
433,프레임,프레임,C0002,프레임
433,베이스,베이스,C0018,베이스
433,어셈블리,어셈블리,C0031,어셈블리
433,트레이,트레이,C0045,트레이
435,단말기,단말기,C0053,단말기
435,컴퓨터 프로그램,컴퓨터 프로그램,C0023,컴퓨터 프로그램
435,컴퓨터,컴퓨터,C0010,컴퓨터
435,프로그램,프로그램,C0008,프로그램
436,프로세서,프로세서,C0006,프로세서
436,카메라,카메라,C0012,카메라
437,폴리머,폴리머,C0074,폴리머
440,탄소,탄소,C0013,탄소
443,유전자,유전자,C0030,유전자
443,카트리지,카트리지,C0087,카트리지
444,단말기,단말기,C0053,단말기
444,프로세스,프로세스,C0017,프로세스
445,디스플레이,디스플레이,C0014,디스플레이
445,텍스트,텍스트,C0040,텍스트
445,단말기,단말기,C0053,단말기
445,디지털,디지털,C0048,디지털
446,바이러스,바이러스,C0088,바이러스
449,라이트,라이트,C0079,라이트
449,매트릭스,매트릭스,C0075,매트릭스
449,백라이트,백라이트,C0107,백라이트
450,반도체 디바이스,반도체 디바이스,C0004,반도체
450,디바이스,디바이스,C0003,디바이스
450,프로세스,프로세스,C0017,프로세스
450,반도체,반도체,C0004,반도체
451,접착제,접착제,C0049,접착제
451,아크릴,아크릴,C0047,아크릴
451,알루미늄,알루미늄,C0025,알루미늄
451,혼합물,혼합물,C0058,혼합물
451,조성물,조성물,C0001,조성물
451,세라믹,세라믹,C0091,세라믹
451,산화물,산화물,C0036,산화물
451,실리콘,실리콘,C0026,실리콘
452,스펜서,스펜서,C0103,스펜서
452,스마트,스마트,C0065,스마트
453,초음파,초음파,C0076,초음파
454,구조물,구조물,C0009,구조물
455,디바이스,디바이스,C0003,디바이스
455,열처리,열처리,C0062,열처리
455,파라미터,파라미터,C0027,파라미터
457,디바이스,디바이스,C0003,디바이스
457,프레임,프레임,C0002,프레임
457,카메라,카메라,C0012,카메라
458,메모리,메모리,C0007,메모리
458,디바이스,디바이스,C0003,디바이스
459,촉매,촉매,C0021,촉매
460,디스플레이,디스플레이,C0014,디스플레이
460,프로세서,프로세서,C0006,프로세서
460,메모리,메모리,C0007,메모리
460,카메라,카메라,C0012,카메라
460,이미지,이미지,C0005,이미지
462,사용자 단말,사용자 단말,C0033,사용자 단말
462,서비스,서비스,C0016,서비스
463,방사선,방사선,C0032,방사선
463,폴리머,폴리머,C0074,폴리머
463,포토레지스트,포토레지스트,C0071,포토레지스트
463,프로세스,프로세스,C0017,프로세스
463,반도체,반도체,C0004,반도체
464,프로그램,프로그램,C0008,프로그램
465,전해질,전해질,C0059,전해질
465,복합체,복합체,C0085,복합체
465,화학식,화학식,C0037,화학식
465,리튬,리튬,C0020,리튬
467,카트리지,카트리지,C0087,카트리지
467,와이어,와이어,C0052,와이어
468,트랜지스터,트랜지스터,C0063,트랜지스터
468,반도체,반도체,C0004,반도체
469,세라믹,세라믹,C0091,세라믹
469,플레이트,플레이트,C0041,플레이트
469,프로세스,프로세스,C0017,프로세스
469,베이스,베이스,C0018,베이스
470,컴퓨팅,컴퓨팅,C0061,컴퓨팅
470,캐비닛,캐비닛,C0090,캐비닛
474,프로그램,프로그램,C0008,프로그램
474,반도체 장치,반도체 장치,C0028,반도체 장치
474,반도체,반도체,C0004,반도체
475,조성물,조성물,C0001,조성물
476,게이트,게이트,C0043,게이트
476,반도체 장치,반도체 장치,C0028,반도체 장치
476,산화물,산화물,C0036,산화물
476,반도체,반도체,C0004,반도체
477,프레임,프레임,C0002,프레임
477,어셈블리,어셈블리,C0031,어셈블리
477,가이드,가이드,C0022,가이드
477,파이프,파이프,C0099,파이프
478,양극,양극,C0083,양극
478,리튬,리튬,C0020,리튬
479,트레이,트레이,C0045,트레이
480,프로세스,프로세스,C0017,프로세스
480,이미지,이미지,C0005,이미지
481,파일럿,파일럿,C0108,파일럿
482,이벤트,이벤트,C0064,이벤트
483,디바이스,디바이스,C0003,디바이스
484,콘텐츠,콘텐츠,C0019,콘텐츠
485,촉매,촉매,C0021,촉매
485,실리콘,실리콘,C0026,실리콘
486,단백질,단백질,C0035,단백질
487,프로세서,프로세서,C0006,프로세서
487,사용자 단말,사용자 단말,C0033,사용자 단말
489,구조물,구조물,C0009,구조물
489,구조체,구조체,C0039,구조체
490,프레임,프레임,C0002,프레임
490,어셈블리,어셈블리,C0031,어셈블리
491,반도체,반도체,C0004,반도체
492,AAV,AAV,C0106,AAV
494,인서트,인서트,C0051,인서트
496,디스플레이,디스플레이,C0014,디스플레이
497,커넥터,커넥터,C0081,커넥터
499,유전자,유전자,C0030,유전자
499,마이오,마이오,C0104,마이오
499,조성물,조성물,C0001,조성물
500,플레이트,플레이트,C0041,플레이트
500,어셈블리,어셈블리,C0031,어셈블리
500,배터리,배터리,C0015,배터리
