doc_id,phrase_original_in_doc,phrase_norm,concept_id,concept_label
186,실리콘,실리콘,C0026,실리콘
187,텍스트,텍스트,C0040,텍스트
187,사용자 단말,사용자 단말,C0033,사용자 단말
187,이미지,이미지,C0005,이미지
187,서비스,서비스,C0016,서비스
188,프레임,프레임,C0002,프레임
188,반도체,반도체,C0004,반도체
191,서비스,서비스,C0016,서비스
192,레이트,레이트,C0055,레이트
193,구조물,구조물,C0009,구조물
194,케이스,케이스,C0042,케이스
194,어셈블리,어셈블리,C0031,어셈블리
195,프레임,프레임,C0002,프레임
195,컴퓨팅,컴퓨팅,C0061,컴퓨팅
196,와이어,와이어,C0052,와이어
196,카메라,카메라,C0012,카메라
197,레이저,레이저,C0024,레이저
197,실시간,실시간,C0068,실시간
198,플레이트,플레이트,C0041,플레이트
198,구조물,구조물,C0009,구조물
199,조성물,조성물,C0001,조성물
200,프로세서,프로세서,C0006,프로세서
200,카메라,카메라,C0012,카메라
201,플레이트,플레이트,C0041,플레이트
