doc_id,phrase_original_in_doc,phrase_canonical,is_outlier_topic,topic_id,topic_label,concept_id
107,컴퓨터,컴퓨터,False,4,컴퓨터,BT0005
107,프로세서,프로세서,False,29,프로세서,BT0030
109,메모리,메모리,False,3,메모리,BT0004
109,인코딩,인코딩,False,3,메모리,BT0004
110,비디오,비디오,False,7,이미지,BT0008
110,인코딩,인코딩,False,3,메모리,BT0004
111,방사선,방사선,False,9,레이저,BT0010
112,포인트,포인트,False,29,프로세서,BT0030
112,억제제,억제제,False,29,프로세서,BT0030
112,조성물,조성물,False,1,윤활유 조성,BT0002
113,와이어,와이어,False,29,프로세서,BT0030
115,와이어,와이어,False,29,프로세서,BT0030
116,접착제,접착제,False,2,접착제,BT0003
117,조성물,조성물,False,1,윤활유 조성,BT0002
119,윤활유,윤활유,False,29,프로세서,BT0030
119,화학식,화학식,False,10,알루미늄,BT0011
119,탄소,탄소,False,23,탄소,BT0024
119,윤활유 조성물,윤활유 조성물,False,1,윤활유 조성,BT0002
119,조성물,조성물,False,1,윤활유 조성,BT0002
119,윤활유 조성,윤활유 조성,False,1,윤활유 조성,BT0002
120,PDCCH,PDCCH,False,17,PDCCH,BT0018
121,전해질,전해질,False,29,프로세서,BT0030
123,단백질,단백질,False,14,단백질,BT0015
124,인서트,인서트,False,29,프로세서,BT0030
125,에어로,에어로,False,29,프로세서,BT0030
126,주파수,주파수,False,29,프로세서,BT0030
126,이미지,이미지,False,7,이미지,BT0008
126,인코딩,인코딩,False,3,메모리,BT0004
127,메탄올,메탄올,False,19,메탄올,BT0020
127,조성물,조성물,False,1,윤활유 조성,BT0002
128,메모리,메모리,False,3,메모리,BT0004
128,컴퓨팅,컴퓨팅,False,4,컴퓨터,BT0005
129,커넥터,커넥터,False,8,케이블,BT0009
130,접착제,접착제,False,2,접착제,BT0003
130,혼합물,혼합물,False,1,윤활유 조성,BT0002
130,실리콘,실리콘,False,5,반도체,BT0006
131,주파수,주파수,False,29,프로세서,BT0030
132,유전자,유전자,False,21,유전자,BT0022
132,단백질,단백질,False,14,단백질,BT0015
132,마이오,마이오,False,29,프로세서,BT0030
133,플라즈마,플라즈마,False,29,프로세서,BT0030
133,레이저,레이저,False,9,레이저,BT0010
134,포인트,포인트,False,29,프로세서,BT0030
134,카메라,카메라,False,7,이미지,BT0008
134,레이저,레이저,False,9,레이저,BT0010
134,이미지,이미지,False,7,이미지,BT0008
135,자동차,자동차,False,26,자동차,BT0027
136,이미지,이미지,False,7,이미지,BT0008
136,에너지,에너지,False,0,에너지,BT0001
137,스트림,스트림,False,29,프로세서,BT0030
137,프로세서,프로세서,False,29,프로세서,BT0030
137,플라즈마,플라즈마,False,29,프로세서,BT0030
137,드라이버,드라이버,False,26,자동차,BT0027
138,조성물,조성물,False,1,윤활유 조성,BT0002
139,오디오,오디오,False,27,오디오,BT0028
140,전해질,전해질,False,29,프로세서,BT0030
140,배터리,배터리,False,16,배터리,BT0017
141,프로세스,프로세스,False,29,프로세서,BT0030
141,리튬,리튬,False,10,알루미늄,BT0011
141,스트림,스트림,False,29,프로세서,BT0030
142,드라이버,드라이버,False,26,자동차,BT0027
143,카운터,카운터,False,29,프로세서,BT0030
144,모니터링,모니터링,False,18,모니터링,BT0019
144,이벤트,이벤트,False,29,프로세서,BT0030
145,스트림,스트림,False,29,프로세서,BT0030
145,오디오,오디오,False,27,오디오,BT0028
145,인코딩,인코딩,False,3,메모리,BT0004
147,조성물,조성물,False,1,윤활유 조성,BT0002
149,실리콘,실리콘,False,5,반도체,BT0006
151,플라스틱,플라스틱,False,2,접착제,BT0003
152,접착제,접착제,False,2,접착제,BT0003
152,전자파 차폐,전자파 차폐,False,27,오디오,BT0028
153,애플리케이션,애플리케이션,False,4,컴퓨터,BT0005
154,방향족,방향족,False,29,프로세서,BT0030
154,조성물,조성물,False,1,윤활유 조성,BT0002
155,접착제,접착제,False,2,접착제,BT0003
155,촉매,촉매,False,29,프로세서,BT0030
155,아크릴,아크릴,False,29,프로세서,BT0030
155,조성물,조성물,False,1,윤활유 조성,BT0002
156,탄소,탄소,False,23,탄소,BT0024
156,조성물,조성물,False,1,윤활유 조성,BT0002
156,폴리머,폴리머,False,2,접착제,BT0003
156,반도체 장치,반도체 장치,False,5,반도체,BT0006
156,반도체,반도체,False,5,반도체,BT0006
157,디지털 변환,디지털 변환,False,4,컴퓨터,BT0005
157,실시간,실시간,False,28,실시간,BT0029
157,디지털,디지털,False,4,컴퓨터,BT0005
158,애플리케이션,애플리케이션,False,4,컴퓨터,BT0005
158,에너지,에너지,False,0,에너지,BT0001
160,플레이트,플레이트,False,29,프로세서,BT0030
160,디스플레이,디스플레이,False,29,프로세서,BT0030
160,커넥터,커넥터,False,8,케이블,BT0009
162,아크릴,아크릴,False,29,프로세서,BT0030
162,화학식,화학식,False,10,알루미늄,BT0011
162,조성물,조성물,False,1,윤활유 조성,BT0002
163,정전기 방전,정전기 방전,False,29,프로세서,BT0030
163,트랜지스터,트랜지스터,False,5,반도체,BT0006
163,이벤트,이벤트,False,29,프로세서,BT0030
164,디스플레이,디스플레이,False,29,프로세서,BT0030
164,프로세서,프로세서,False,29,프로세서,BT0030
164,메모리,메모리,False,3,메모리,BT0004
165,매트릭스,매트릭스,False,29,프로세서,BT0030
168,카메라,카메라,False,7,이미지,BT0008
169,전해질,전해질,False,29,프로세서,BT0030
169,화학식,화학식,False,10,알루미늄,BT0011
169,탄소,탄소,False,23,탄소,BT0024
169,조성물,조성물,False,1,윤활유 조성,BT0002
169,리튬,리튬,False,10,알루미늄,BT0011
170,케이블,케이블,False,8,케이블,BT0009
171,포인트,포인트,False,29,프로세서,BT0030
173,카메라,카메라,False,7,이미지,BT0008
174,윤활유,윤활유,False,29,프로세서,BT0030
174,윤활유 조성물,윤활유 조성물,False,1,윤활유 조성,BT0002
174,조성물,조성물,False,1,윤활유 조성,BT0002
174,윤활유 조성,윤활유 조성,False,1,윤활유 조성,BT0002
175,플라즈마,플라즈마,False,29,프로세서,BT0030
177,플라즈마,플라즈마,False,29,프로세서,BT0030
178,억제제,억제제,False,29,프로세서,BT0030
