phrase,tf,df,ngram,char_len,is_protected,noise_penalty,completeness_penalty,base_quality,title_df,claims_df,title_ratio,claims_ratio,title_boost,claims_support_score,support_penalty,final_score,drop_flag,drop_reason,generic_penalty,cleaned_score
코팅,22,7,1,2,True,0.0,0.0,3.875,3,6,0.4286,0.8571,0.6943,1.0571,0.0,5.5538,True,short_unigram,0.0,5.5538
이온,33,14,1,2,False,0.0,0.0,3.4,7,11,0.5,0.7857,1.02,1.1524,0.0,5.5459,True,short_unigram,0.0,5.5459
물품,31,9,1,2,False,0.0,0.0,3.325,5,9,0.5556,1.0,0.9667,1.3,0.0,5.525,True,short_unigram,0.0,5.525
화합물,74,29,1,3,False,0.0,0.0,3.4,8,27,0.2759,0.931,0.8111,1.431,0.0,5.5181,False,,2.1,3.4180999999999995
모터,24,11,1,2,False,0.0,0.0,3.4,5,11,0.4545,1.0,0.8454,1.3667,0.0,5.5078,True,short_unigram,0.0,5.5078
보조,37,8,1,2,False,0.0,0.0,3.2,5,8,0.625,1.0,1.05,1.2667,0.0,5.4734,True,short_unigram,0.0,5.4734
전동,18,8,1,2,False,0.0,0.0,3.2,6,6,0.75,0.75,1.26,0.95,0.0,5.472,True,short_unigram,0.0,5.472
무선,26,13,1,2,False,0.0,0.0,3.4,6,11,0.4615,0.8462,0.9138,1.2129,0.0,5.4669,True,short_unigram,0.0,5.4669
유기,39,17,1,2,False,0.0,0.0,3.4,6,15,0.3529,0.8824,0.7835,1.3824,0.0,5.4461,True,short_unigram,0.0,5.4461
전해질,15,6,1,3,True,0.0,0.0,3.55,3,6,0.5,1.0,0.78,1.2,0.0,5.446,False,,1.4,4.045999999999999
모듈,91,29,1,2,False,0.0,0.0,3.4,8,24,0.2759,0.8276,0.8111,1.3276,0.0,5.4354,True,short_unigram,2.1,3.3353999999999995
금속,92,28,1,2,False,0.0,0.0,3.4,7,27,0.25,0.9643,0.72,1.4643,0.0,5.4354,True,short_unigram,0.0,5.4354
RF,15,3,1,2,True,0.0,0.0,2.875,3,3,1.0,1.0,1.38,1.1,0.0,5.411,True,short_unigram,0.0,5.411
이미지,88,21,1,3,False,0.0,0.0,3.4,6,20,0.2857,0.9524,0.7028,1.4524,0.0,5.4053,False,,0.0,5.4053
유닛,100,31,1,2,False,0.0,0.0,3.4,7,30,0.2258,0.9677,0.691,1.4677,0.0,5.4034,True,short_unigram,2.1,3.3034000000000003
서버,32,17,1,2,False,0.0,0.0,3.4,5,17,0.2941,1.0,0.6529,1.5,0.0,5.3835,True,short_unigram,1.8,3.5835
학습,52,13,1,2,False,0.0,0.0,3.4,5,12,0.3846,0.9231,0.7615,1.3231,0.0,5.3723,True,short_unigram,0.0,5.3723
광학,49,16,1,2,False,0.0,0.0,3.4,6,13,0.375,0.8125,0.81,1.2458,0.0,5.3686,True,short_unigram,0.0,5.3686
디지털3D,12,1,1,5,False,0.0,0.0,3.025,1,1,1.0,1.0,1.26,1.0333,0.0,5.3636,True,singleton_unigram,0.0,5.3636
검출,95,19,1,2,False,0.0,0.0,3.4,6,16,0.3158,0.8421,0.739,1.3421,0.0,5.3605,True,short_unigram,0.0,5.3605
동작,55,28,1,2,False,0.0,0.0,3.4,7,24,0.25,0.8571,0.72,1.3571,0.0,5.3497,True,short_unigram,0.0,5.3497
메모리,47,17,1,3,False,0.0,0.0,3.4,5,16,0.2941,0.9412,0.6529,1.4412,0.0,5.3364,False,,0.0,5.3364
제품,24,10,1,2,False,0.0,0.0,3.4,6,6,0.6,0.6,1.08,0.8,0.0,5.336,True,short_unigram,0.0,5.336
기기,32,10,1,2,False,0.0,0.0,3.4,4,10,0.4,1.0,0.72,1.3333,0.0,5.3306,True,short_unigram,1.8,3.5305999999999997
기판 처리,20,5,2,4,False,0.0,0.0,3.125,4,4,0.8,0.8,1.2,0.9333,0.0,5.3116,True,fragment_like,0.0,5.3116
보호,37,14,1,2,False,0.0,0.0,3.4,7,8,0.5,0.5714,1.02,0.8381,0.0,5.2945,True,short_unigram,0.0,5.2945
측정,99,31,1,2,False,0.0,0.0,3.4,6,30,0.1935,0.9677,0.5922,1.4677,0.0,5.2848,True,short_unigram,0.0,5.2848
구조물,43,15,1,3,False,0.0,0.0,3.4,5,13,0.3333,0.8667,0.7,1.3,0.0,5.28,False,,0.0,5.28
변환,37,15,1,2,False,0.0,0.0,3.4,5,13,0.3333,0.8667,0.7,1.3,0.0,5.28,True,short_unigram,0.0,5.28
전기,49,29,1,2,False,0.0,0.0,3.4,6,26,0.2069,0.8966,0.6083,1.3966,0.0,5.2472,True,short_unigram,0.0,5.2472
전자 장치,21,12,2,4,False,0.5,0.0,2.95,7,10,0.5833,0.8333,1.12,1.1666,0.0,5.2273,True,fragment_like,0.0,5.2273
모델,39,21,1,2,False,0.0,0.0,3.4,5,19,0.2381,0.9048,0.5857,1.4048,0.0,5.2267,True,short_unigram,0.0,5.2267
소자,41,10,1,2,False,0.0,0.0,3.4,5,7,0.5,0.7,0.9,0.9333,0.0,5.2266,True,short_unigram,1.8,3.4266000000000005
양극,16,3,1,2,True,0.0,0.0,3.2417,2,3,0.6667,1.0,0.92,1.1,0.0,5.2257,False,,0.0,5.2257
기능,52,25,1,2,False,0.0,0.0,3.4,7,16,0.28,0.64,0.756,1.14,0.0,5.2192,True,short_unigram,0.0,5.2192
조립,26,11,1,2,False,0.0,0.0,3.4,4,10,0.3636,0.9091,0.6763,1.2424,0.0,5.2055,True,short_unigram,0.0,5.2055
분리,64,32,1,2,False,0.0,0.0,3.4,6,28,0.1875,0.875,0.585,1.375,0.0,5.202,True,short_unigram,0.0,5.202
활용,41,24,1,2,False,0.0,0.0,3.4,10,8,0.4167,0.3333,1.1,0.6,0.0,5.2,True,short_unigram,0.0,5.2
패턴,36,15,1,2,False,0.0,0.0,3.4,5,12,0.3333,0.8,0.7,1.2,0.0,5.2,True,short_unigram,0.0,5.2
관리,40,20,1,2,False,0.0,0.0,3.4,6,14,0.3,0.7,0.72,1.1667,0.0,5.1974,True,short_unigram,0.0,5.1974
3D 모델,5,1,2,4,False,0.0,0.0,2.8583,1,1,1.0,1.0,1.26,1.0333,0.0,5.1969,True,fragment_like,0.0,5.1969
공기,52,12,1,2,False,0.0,0.0,3.4,4,11,0.3333,0.9167,0.64,1.2834,0.0,5.1947,True,short_unigram,0.0,5.1947
영상,65,19,1,2,False,0.0,0.0,3.4,4,19,0.2105,1.0,0.4926,1.5,0.0,5.1911,True,short_unigram,0.0,5.1911
밸브,67,9,1,2,False,0.0,0.0,3.325,4,8,0.4444,0.8889,0.7733,1.1556,0.0,5.1774,True,short_unigram,0.0,5.1774
코어,46,9,1,2,False,0.0,0.0,3.325,4,8,0.4444,0.8889,0.7733,1.1556,0.0,5.1774,True,short_unigram,0.0,5.1774
의료,23,6,1,2,False,0.0,0.0,2.95,4,6,0.6667,1.0,1.04,1.2,0.0,5.158,True,short_unigram,0.0,5.158
공급,85,37,1,2,False,0.0,0.0,3.4,5,37,0.1351,1.0,0.4621,1.5,0.0,5.1545,True,short_unigram,0.0,5.1545
RF 에너지,7,2,2,5,False,0.0,0.0,2.7167,2,2,1.0,1.0,1.32,1.0667,0.0,5.1541,False,,0.0,5.1541
3D 인쇄,4,1,2,4,False,0.0,0.0,2.7917,1,1,1.0,1.0,1.26,1.0333,0.0,5.1303,True,fragment_like,0.0,5.1303
가스,79,21,1,2,False,0.0,0.0,3.4,4,20,0.1905,0.9524,0.4686,1.4524,0.0,5.1242,True,short_unigram,0.0,5.1242
료 조성물,5,2,2,4,True,0.0,0.0,2.6833,2,2,1.0,1.0,1.32,1.0667,0.0,5.1207,True,fragment_like,0.0,5.1207
질환,19,10,1,2,False,0.0,0.0,3.4,5,6,0.5,0.6,0.9,0.8,0.0,5.12,True,short_unigram,0.0,5.12
에너지,34,14,1,3,False,0.0,0.0,3.4,5,10,0.3571,0.7143,0.7285,1.0476,0.0,5.1123,False,,0.0,5.1123
지능,17,9,1,2,False,0.0,0.0,3.2583,5,6,0.5556,0.6667,0.9667,0.8667,0.0,5.1117,True,short_unigram,0.0,5.1117
반송,27,3,1,2,False,0.0,0.0,2.575,3,3,1.0,1.0,1.38,1.1,0.0,5.111,True,short_unigram,0.0,5.111
화재,27,3,1,2,False,0.0,0.0,2.575,3,3,1.0,1.0,1.38,1.1,0.0,5.111,True,short_unigram,0.0,5.111
요소,37,14,1,2,False,0.0,0.0,3.4,4,12,0.2857,0.8571,0.5828,1.2571,0.0,5.105,True,short_unigram,0.0,5.105
서비스,23,12,1,3,False,0.0,0.0,3.4,4,10,0.3333,0.8333,0.64,1.1666,0.0,5.1013,False,,0.0,5.1013
부재,106,27,1,2,False,0.0,0.0,3.4,4,27,0.1481,1.0,0.4177,1.5,0.0,5.1012,True,short_unigram,2.1,3.0012000000000003
피치 조성물,8,1,2,5,True,0.0,0.0,2.7583,1,1,1.0,1.0,1.26,1.0333,0.0,5.0969,True,fragment_like,0.0,5.0969
식별,30,13,1,2,False,0.0,0.0,3.4,3,13,0.2308,1.0,0.457,1.4333,0.0,5.095,True,short_unigram,0.0,5.095
예측,33,8,1,2,False,0.0,0.0,3.2,4,7,0.5,0.875,0.84,1.1083,0.0,5.0946,True,short_unigram,0.0,5.0946
유전자,23,8,1,3,False,0.0,0.0,3.2,4,7,0.5,0.875,0.84,1.1083,0.0,5.0946,False,,0.0,5.0946
출력,72,26,1,2,False,0.0,0.0,3.4,4,25,0.1538,0.9615,0.4246,1.4615,0.0,5.0787,True,short_unigram,0.0,5.0787
송신,34,17,1,2,False,0.0,0.0,3.4,3,17,0.1765,1.0,0.3918,1.5,0.0,5.0702,True,short_unigram,0.0,5.0702
CSF1R 키나아제,3,1,2,9,False,0.0,0.0,2.725,1,1,1.0,1.0,1.26,1.0333,0.0,5.0636,True,singleton_weak_phrase,0.0,5.0636
1R 키나아제,3,1,2,6,False,0.0,0.0,2.725,1,1,1.0,1.0,1.26,1.0333,0.0,5.0636,True,fragment_like,0.0,5.0636
B2B 기업,3,1,2,5,False,0.0,0.0,2.725,1,1,1.0,1.0,1.26,1.0333,0.0,5.0636,True,singleton_weak_phrase,0.0,5.0636
2B 기업,3,1,2,4,False,0.0,0.0,2.725,1,1,1.0,1.0,1.26,1.0333,0.0,5.0636,True,fragment_like,0.0,5.0636
레이저,46,9,1,3,False,0.0,0.0,3.325,4,7,0.4444,0.7778,0.7733,1.0111,0.0,5.0618,False,,0.0,5.0618
폴리,21,9,1,2,False,0.0,0.0,3.325,3,9,0.3333,1.0,0.58,1.3,0.0,5.061,True,short_unigram,0.0,5.061
구동,67,25,1,2,False,0.0,0.0,3.4,5,19,0.2,0.76,0.54,1.26,0.0,5.056,True,short_unigram,0.0,5.056
반응,45,20,1,2,False,0.0,0.0,3.4,4,17,0.2,0.85,0.48,1.35,0.0,5.056,True,short_unigram,0.0,5.056
윤활유 조성물,4,2,2,6,True,0.0,0.0,2.6167,2,2,1.0,1.0,1.32,1.0667,0.0,5.0541,False,,0.0,5.0541
전지 모듈,4,2,2,4,True,0.0,0.0,2.6167,2,2,1.0,1.0,1.32,1.0667,0.0,5.0541,True,fragment_like,0.0,5.0541
단말,50,19,1,2,False,0.0,0.0,3.4,3,19,0.1579,1.0,0.3695,1.5,0.0,5.0434,True,short_unigram,1.8,3.2434000000000003
나트륨 이온 전지,7,1,3,7,True,0.0,0.0,2.6917,1,1,1.0,1.0,1.26,1.0333,0.0,5.0303,True,singleton_weak_phrase,0.0,5.0303
생산,38,14,1,2,False,0.0,0.0,3.4,5,9,0.3571,0.6429,0.7285,0.9429,0.0,5.0285,True,short_unigram,0.0,5.0285
전달,42,24,1,2,False,0.0,0.0,3.4,4,21,0.1667,0.875,0.44,1.375,0.0,5.028,True,short_unigram,0.0,5.028
지지,97,36,1,2,False,0.0,0.0,3.4,4,35,0.1111,0.9722,0.3733,1.4722,0.0,5.0257,True,short_unigram,0.0,5.0257
접착제,16,6,1,3,False,0.0,0.0,2.8167,4,6,0.6667,1.0,1.04,1.2,0.0,5.0247,False,,0.0,5.0247
절연,48,15,1,2,False,0.0,0.0,3.4,3,14,0.2,0.9333,0.42,1.4,0.0,5.024,True,short_unigram,0.0,5.024
지원,19,12,1,2,False,0.0,0.0,3.4,5,7,0.4167,0.5833,0.8,0.8166,0.0,5.0133,True,short_unigram,0.0,5.0133
부품,36,10,1,2,False,0.0,0.0,3.4,4,7,0.4,0.7,0.72,0.9333,0.0,5.0106,True,short_unigram,1.8,3.2106000000000003
미세,31,12,1,2,False,0.0,0.0,3.4,4,9,0.3333,0.75,0.64,1.05,0.0,5.008,True,short_unigram,0.0,5.008
작동,20,12,1,2,False,0.0,0.0,3.4,4,9,0.3333,0.75,0.64,1.05,0.0,5.008,True,short_unigram,0.0,5.008
전력,35,10,1,2,False,0.0,0.0,3.4,3,9,0.3,0.9,0.54,1.2,0.0,5.008,True,short_unigram,0.0,5.008
혼합,22,10,1,2,False,0.0,0.0,3.4,3,9,0.3,0.9,0.54,1.2,0.0,5.008,True,short_unigram,0.0,5.008
패널,66,13,1,2,False,0.0,0.0,3.4,3,12,0.2308,0.9231,0.457,1.3231,0.0,5.0069,True,short_unigram,0.0,5.0069
유체,46,13,1,2,False,0.0,0.0,3.4,3,12,0.2308,0.9231,0.457,1.3231,0.0,5.0069,True,short_unigram,1.8,3.2069
온도,38,19,1,2,False,0.0,0.0,3.4,3,18,0.1579,0.9474,0.3695,1.4474,0.0,5.0013,True,short_unigram,0.0,5.0013
차폐,15,5,1,2,False,0.0,0.0,2.625,4,5,0.8,1.0,1.2,1.1667,0.0,4.9984,True,short_unigram,0.0,4.9984
주행,22,6,1,2,False,0.0,0.0,2.95,4,5,0.6667,0.8333,1.04,1.0,0.0,4.998,True,short_unigram,0.0,4.998
매체,9,7,1,2,False,0.0,0.0,2.475,6,6,0.8571,0.8571,1.3885,1.0571,0.0,4.9869,True,short_unigram,0.0,4.9869
멀티,13,7,1,2,False,0.0,0.0,2.7417,5,6,0.7143,0.8571,1.1572,1.0571,0.0,4.976,True,short_unigram,0.0,4.976
어셈블리,19,8,1,4,False,0.0,0.0,3.2,3,8,0.375,1.0,0.63,1.2667,0.0,4.9694,False,,0.0,4.9694
