doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
276,프로그램,프로그램,0,디지털 | 전해질 | 리튬,BT0001,False
277,방사선,방사선,6,포토레지스트 | 레이저 | 방사선,BT0005,False
278,구조체,구조체,0,디지털 | 전해질 | 리튬,BT0001,False
279,스마트,스마트,0,디지털 | 전해질 | 리튬,BT0001,False
279,케이스,케이스,0,디지털 | 전해질 | 리튬,BT0001,False
279,베이스,베이스,0,디지털 | 전해질 | 리튬,BT0001,False
281,스테이션,스테이션,0,디지털 | 전해질 | 리튬,BT0001,False
281,트레이,트레이,0,디지털 | 전해질 | 리튬,BT0001,False
281,서비스,서비스,0,디지털 | 전해질 | 리튬,BT0001,False
281,메탄올,메탄올,0,디지털 | 전해질 | 리튬,BT0001,False
284,에너지 발생,에너지 발생,1,배터리 | 열처리 | 에너지,BT0003,False
284,RF 에너지,RF 에너지,1,배터리 | 열처리 | 에너지,BT0003,False
284,에너지,에너지,1,배터리 | 열처리 | 에너지,BT0003,False
284,구조체,구조체,0,디지털 | 전해질 | 리튬,BT0001,False
285,청정기,청정기,0,디지털 | 전해질 | 리튬,BT0001,False
286,방사선,방사선,6,포토레지스트 | 레이저 | 방사선,BT0005,False
287,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
287,포토레지스트,포토레지스트,0,디지털 | 전해질 | 리튬,BT0001,False
287,자외선,자외선,6,포토레지스트 | 레이저 | 방사선,BT0005,False
287,반도체,반도체,9,반도체 | 실리콘 | 트랜지스터,BT0002,False
287,포토레지스트 조성물,포토레지스트 조성물,6,포토레지스트 | 레이저 | 방사선,BT0005,False
289,와이어,와이어,0,디지털 | 전해질 | 리튬,BT0001,False
290,레이트,레이트,0,디지털 | 전해질 | 리튬,BT0001,False
292,방사선,방사선,6,포토레지스트 | 레이저 | 방사선,BT0005,False
293,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
294,카운터,카운터,0,디지털 | 전해질 | 리튬,BT0001,False
296,메모리,메모리,0,디지털 | 전해질 | 리튬,BT0001,False
298,레이저,레이저,6,포토레지스트 | 레이저 | 방사선,BT0005,False
300,디바이스,디바이스,0,디지털 | 전해질 | 리튬,BT0001,False
300,프레임,프레임,0,디지털 | 전해질 | 리튬,BT0001,False
302,구조체,구조체,0,디지털 | 전해질 | 리튬,BT0001,False
303,스테이션,스테이션,0,디지털 | 전해질 | 리튬,BT0001,False
306,프로세서,프로세서,0,디지털 | 전해질 | 리튬,BT0001,False
306,메모리,메모리,0,디지털 | 전해질 | 리튬,BT0001,False
306,프로세스,프로세스,0,디지털 | 전해질 | 리튬,BT0001,False
306,이미지,이미지,10,이미지 | 센서 | 카메라,BT0004,False
307,주파수,주파수,0,디지털 | 전해질 | 리튬,BT0001,False
308,열처리,열처리,1,배터리 | 열처리 | 에너지,BT0003,False
309,방사선,방사선,6,포토레지스트 | 레이저 | 방사선,BT0005,False
310,플레이트,플레이트,0,디지털 | 전해질 | 리튬,BT0001,False
310,레독스,레독스,0,디지털 | 전해질 | 리튬,BT0001,False
310,배터리,배터리,1,배터리 | 열처리 | 에너지,BT0003,False
311,에너지,에너지,1,배터리 | 열처리 | 에너지,BT0003,False
311,중합체,중합체,0,디지털 | 전해질 | 리튬,BT0001,False
311,혼합물,혼합물,0,디지털 | 전해질 | 리튬,BT0001,False
312,프로세서,프로세서,0,디지털 | 전해질 | 리튬,BT0001,False
312,메모리,메모리,0,디지털 | 전해질 | 리튬,BT0001,False
312,카메라,카메라,10,이미지 | 센서 | 카메라,BT0004,False
312,이미지,이미지,10,이미지 | 센서 | 카메라,BT0004,False
314,인서트,인서트,0,디지털 | 전해질 | 리튬,BT0001,False
315,매트릭스,매트릭스,0,디지털 | 전해질 | 리튬,BT0001,False
316,화학식,화학식,0,디지털 | 전해질 | 리튬,BT0001,False
317,사용자 단말,사용자 단말,0,디지털 | 전해질 | 리튬,BT0001,False
317,데이터 유닛,데이터 유닛,8,데이터,BT0010,False
318,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
319,백라이트,백라이트,0,디지털 | 전해질 | 리튬,BT0001,False
319,자외선,자외선,6,포토레지스트 | 레이저 | 방사선,BT0005,False
320,나트륨 이온,나트륨 이온,0,디지털 | 전해질 | 리튬,BT0001,False
321,HARQ,HARQ,0,디지털 | 전해질 | 리튬,BT0001,False
321,ACK,ACK,0,디지털 | 전해질 | 리튬,BT0001,False
321,레이트,레이트,0,디지털 | 전해질 | 리튬,BT0001,False
321,인코딩,인코딩,0,디지털 | 전해질 | 리튬,BT0001,False
321,CSI,CSI,2,바이러스 | CSI,BT0008,False
322,베이스,베이스,0,디지털 | 전해질 | 리튬,BT0001,False
323,이미지,이미지,10,이미지 | 센서 | 카메라,BT0004,False
323,실시간,실시간,0,디지털 | 전해질 | 리튬,BT0001,False
324,방향족,방향족,0,디지털 | 전해질 | 리튬,BT0001,False
324,탄소,탄소,5,탄소,BT0009,False
324,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
328,억제제,억제제,0,디지털 | 전해질 | 리튬,BT0001,False
328,단백질,단백질,3,유전자 | 단백질,BT0007,False
